adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,56501,Directing,Michael Spierig,Michael Spierig,3.627,/hDj7wXT937jZZjU7lJ8aTuKoBg5.jpg,52fe4d1fc3a368484e1d818f,Directing,Director,206487
False,2,56502,Directing,Peter Spierig,Peter Spierig,1.905,/1M1FX7YR9Dq0DhawzQ0vT0tx678.jpg,52fe4d1fc3a368484e1d8195,Directing,Director,206487
False,2,21134,Acting,John Slattery,John Slattery,35.542,/t8Yf2zlyJeSN9oazXAby3V5tdJo.jpg,52fe4ef3c3a36847f82b2d73,Directing,Director,244517
False,2,132722,Directing,Curtis Crawford,Curtis Crawford,1.446,/hSV1PKx7XUJ0KWuIY5P2mZAmKfB.jpg,53bc5b8bc3a3684cf90000b3,Directing,Director,280874
False,1,1441577,Directing,Bitte Andersson,Bitte Andersson,0.001,,5508af7dc3a36852b2001dae,Directing,Director,324436
False,2,96676,Directing,Tomm Moore,Tomm Moore,2.646,/gqUcu5yEtNgnCaA2jtSOs8DV1Gg.jpg,538b555a0e0a26670500204c,Directing,Director,110416
False,2,17608,Writing,Rowan Joffe,Rowan Joffe,2.095,/ltJx7a8nrSpnx0jZCUXvmy5cfj4.jpg,52fe4cfdc3a368484e1d1071,Directing,Director,204922
False,2,63820,Directing,Christian Ditter,Christian Ditter,1.446,/o8waU0Go2YEgq6YFcDQf5dph5zP.jpg,52fe4c91c3a368484e1bcd43,Directing,Director,200727
False,2,130938,Directing,Sergei Bodrov,Sergei Bodrov,5.347,/9f4SPMNwQDA64lkSRgNhvrb1etf.jpg,52fe47a2c3a368484e0d1d3d,Directing,Director,68737
False,2,53708,Directing,Ira Sachs,Ira Sachs,1.549,/ddw9iGneyLXo3hiz7uupHlEGpOH.jpg,52fe4eefc3a36847f82b1af7,Directing,Director,244268
False,2,73460,Directing,Saul Dibb,Saul Dibb,0.77,/xwCZYYUAkHZJD36z5AZ93phFcbC.jpg,53801f3bc3a36805950045d6,Directing,Director,271674
False,2,1285197,Writing,Rob Pearlstein,Rob Pearlstein,2.452,,52fe4f4dc3a36847f82cbfdd,Directing,Director,249923
False,2,71929,Directing,Benoît Delépine,Benoît Delépine,0.71,/qDdV9NS4eDCk8Wy3EnM11kZoycz.jpg,5405df9fc3a3682d98006de5,Directing,Director,290158
False,2,71930,Acting,Gustave Kervern,Gustave Kervern,2.707,/kDBq8wmIxXl7NgiC3ilR0qCwrgX.jpg,57696c67c3a368696f0004be,Directing,Director,290158
False,2,146836,Production,John Suits,John Suits,0.706,,52fe4e269251416c9112813d,Directing,Director,251852
False,2,56206,Directing,Kornél Mundruczó,Kornél Mundruczó,2.331,/8mCJzduGeaSuibiwcvHZksUWuSW.jpg,5364f3f2c3a368122600116b,Directing,Director,267999
False,1,1186229,Directing,Shira Piven,Shira Piven,0.759,/A6IQtxbtexyswBsYowbuDv6xumR.jpg,53f7a7430e0a267f7a0084b0,Directing,Director,284537
